CFSR,Station
1.018053199,3
0.21914428,1.8
0.122229884,0
2.493719624,0
0.045873427,21.3
1.039389925,13.8
0.001023545,3.4
0.077584684,0
0.535956309,0
0,0.9
2.161806696,0.1
0.32653411,0
0.330977273,2.5
1.226258979,0
0.00372198,9.5
0.07397442,0
0.464178376,0
0.049804769,2.1
0.106169507,1.1
0,2.2
0.013492182,7.2
0.595051121,10.2
3.227527342,0
0,0.3
0.004325304,3
1.550084942,0.2
0.022331888,8.3
5.656883431,0.1
0.002791485,0
0.003908079,4.8
3.262187685,0
0.036715549,1.4
0.020954759,0
0.60392869,0
0.007816166,0
5.252517811,10.8
0,0
1.128312853,0
0.301926211,0
0.348684276,0.4
1.581449771,0
0.068019281,0
0.756027691,6.8
1.093235587,0.5
0.086233715,8.3
1.030005514,6.5
0.89505428,0
0.533639919,0
0.047594826,0
0.346403908,2.4
1.900454017,13.3
0.237648499,0
0.227524776,0.1
0.008839703,1
0.016187014,10
4.618903813,9.4
0.007443964,10.3
0.525218082,0
0.007443968,0
0.204028742,0.9
2.224181728,0
0.013649766,1.5
1.160988208,0
0.041314,10.4
0.001860992,0
3.786126564,8.5
0,0
1.195445688,0
0.850890163,0.2
0.705668953,4.6
1.422444908,0
0,0
2.560971717,2.1
0.42692981,1.7
0.585400281,21.4
1.239781565,11
2.514895889,0
0.828931529,0
1.820931587,0
0.727407181,6.3
5.820493619,2.4
2.936991772,0
0.024043999,0.4
0.06957881,0.7
1.915431324,8.7
10.62586984,18
